pmid,title,journal,year,overall_calib_reported,overall_calib_slope_CI_reported,overall_calib_plot_band,subgroup_calib_reported_any,subgroup_stratifiers,subgroup_interval_aware,subgroup_point_only,subgroup_slope_CI_per_stratifier,masking_overall_pass_subgroup_fail,masking_definition,triPod_AI_era,PROBAST_overall,extraction_reviewer,dual_overlap_flag,adjudication_note,rayyan_label,Wilson_p_interval_aware_stub,notes
32479165,Transparent Reporting of Multivariable Prediction Models in Journal and Conference Abstracts: TRIPOD for Abstracts.,Annals of internal medicine,2020,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),pre-2024,low,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
38783054,Individualized prediction models in ADHD: a systematic review and meta-regression.,Molecular psychiatry,2024,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,adjudicated,1,agree,exclude,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
41473241,Development and external validation of machine-learning based models to predict diabetic foot ulcer in diabetes population.,Frontiers in endocrinology,2025,1,1,1,1,PROGRESS_other;race_ethnicity,0,1,PROGRESS_other;race_ethnicity:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
40620096,A practical guide for nephrologist peer reviewers: evaluating artificial intelligence and machine learning research in nephrology.,Renal failure,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
36750236,Transparent reporting of multivariable prediction models developed or validated using clustered data (TRIPOD-Cluster): explanation and elaboration.,BMJ (Clinical research ed.),2023,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),pre-2024,high,R1,0,,exclude,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
38226447,Systematic review of machine-learning models in orthopaedic trauma.,Bone & joint open,2024,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
40964606,Development of an optimized risk evaluation system for cardiovascular-kidney-metabolic syndrome-associated coronary heart disease based on tabular prior-data fitted network.,Digital health,2025,1,0,0,1,deprivation,0,1,deprivation:CI=no,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
32552702,Early warning score validation methodologies and performance metrics: a systematic review.,BMC medical informatics and decision making,2020,0,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),pre-2024,high,R1,0,,exclude,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
32278089,Development and validation of early warning score system: A systematic literature review.,Journal of biomedical informatics,2020,1,1,1,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),pre-2024,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
40059970,Evaluation of prognostic scores in patients with HCC undergoing first-line immunotherapy with atezolizumab and bevacizumab.,JHEP reports : innovation in hepatology,2025,1,0,0,0,,0,0,,0,overall slope 0.8-1.2 + intercept +/-0.3 + ICI<0.05 pass; subgroup fail slope<0.8 or >1.2 or ICI>=0.10 (with band consideration per Riley),2024-2025,high,R1,0,,include,,pilot synthetic — full n=150 uses real extraction per Riley 10.1136/bmj-2024-080749
